Insee;num_risque_jo;annee
11106;1.0;2015
11110;1.0;2013
11110;1.0;2014
11111;1.0;2015
11112;1.0;2014
11113;1.0;2015
11116;1.0;2015
11117;1.0;2015
11119;39.0;2013
11123;1.0;2015
11124;1.0;2013
11124;1.0;2014
11125;1.0;2015
11132;1.0;2015
11137;1.0;2015
11142;1.0;2015
11143;1.0;2015
11144;1.0;2015
11145;1.0;2014
11145;1.0;2015
11152;1.0;2014
11155;1.0;2014
11157;1.0;2015
11164;1.0;2015
11169;1.0;2014
11176;1.0;2014
11183;1.0;2014
11186;1.0;2015
11187;1.0;2015
11188;32.0;2015
11188;1.0;2015
11191;1.0;2015
11195;39.0;2013
11202;32.0;2013
11202;32.0;2015
11210;1.0;2013
11210;1.0;2014
11213;1.0;2015
11217;1.0;2015
11227;1.0;2015
11239;39.0;2013
11244;1.0;2015
11245;1.0;2015
11253;1.0;2013
11255;1.0;2015
11256;1.0;2013
11256;1.0;2014
11256;1.0;2015
11258;1.0;2014
11259;39.0;2013
11259;1.0;2013
11260;1.0;2014
11262;32.0;2013
11262;1.0;2013
11262;1.0;2014
11262;1.0;2014
11262;1.0;2015
11264;1.0;2014
11267;1.0;2013
11267;1.0;2014
11267;1.0;2015
11270;1.0;2015
11276;1.0;2013
11276;1.0;2014
11284;39.0;2013
11285;1.0;2015
11285;32.0;2015
11288;39.0;2013
11288;1.0;2013
11288;1.0;2013
11293;1.0;2015
11295;1.0;2014
11305;1.0;2014
11307;1.0;2013
11307;1.0;2014
11310;1.0;2014
11311;39.0;2013
11311;1.0;2013
11316;1.0;2014
11322;1.0;2013
11322;1.0;2015
11322;1.0;2016
11325;39.0;2013
11326;1.0;2015
11332;1.0;2013
11332;1.0;2014
11332;1.0;2015
11334;1.0;2014
11336;1.0;2014
11341;1.0;2015
11344;1.0;2014
11345;1.0;2014
11347;1.0;2015
11351;1.0;2014
11353;1.0;2013
11353;1.0;2014
11356;39.0;2013
11360;1.0;2015
11361;39.0;2013
11363;1.0;2015
11369;1.0;2014
11379;1.0;2013
11379;1.0;2014
11381;1.0;2014
11383;39.0;2013
11384;1.0;2015
11386;1.0;2013
11386;1.0;2015
11388;1.0;2015
11390;1.0;2015
11392;1.0;2014
11398;1.0;2014
11398;1.0;2015
11399;1.0;2012
11401;1.0;2014
11405;1.0;2014
11405;39.0;2016
11413;1.0;2015
11421;1.0;2013
11421;1.0;2014
11423;1.0;2015
11429;39.0;2013
11429;1.0;2015
11430;39.0;2013
11431;1.0;2014
11433;39.0;2013
11434;39.0;2013
11436;1.0;2014
12009;1.0;2014
12021;1.0;2013
12022;1.0;2014
12022;1.0;2014
12023;1.0;2012
12023;1.0;2014
12025;1.0;2014
12038;1.0;2014
12039;1.0;2014
12039;1.0;2014
12042;1.0;2014
12044;1.0;2014
12044;1.0;2014
12056;1.0;2013
12063;1.0;2014
12066;16.0;2016
12069;1.0;2014
12070;39.0;2012
12070;39.0;2012
12077;1.0;2015
12080;1.0;2012
12080;1.0;2014
12084;39.0;2012
12084;39.0;2012
12089;16.0;2016
12099;1.0;2014
12099;1.0;2014
12099;1.0;2015
12105;1.0;2013
12109;1.0;2014
12109;1.0;2014
12122;1.0;2014
12127;39.0;2012
12135;1.0;2013
12139;1.0;2014
12141;1.0;2014
12143;1.0;2014
12143;1.0;2016
12145;39.0;2012
12145;39.0;2012
12145;39.0;2012
12147;1.0;2014
12147;1.0;2015
12154;1.0;2014
12154;1.0;2014
12155;1.0;2014
12155;1.0;2015
12159;1.0;2013
12169;1.0;2013
12174;1.0;2013
